mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,mean_score_time,params
0.9041119888223204,0.052488708496827054,1.0,0.0,82.89660253524781,0.05204954147338867,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
0.9039305137310321,0.05046925964175648,0.9997920652069123,0.0003221445915398171,35.33401927947998,0.04065132141113281,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
0.903172277167795,0.049426181667006734,0.9997033734109035,0.0003136205606654718,41.09216380119324,0.05655674934387207,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
0.9030741060398528,0.04883091974672235,0.9998336538947893,0.0002425001561642898,18.758356189727785,0.037688398361206056,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}"
0.9011685720133557,0.05859633510840555,0.9967726439358456,0.0012462971728604206,30.38310170173645,0.05409550666809082,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
0.9011557675004733,0.05586117883695164,0.9950301959529403,0.0016465438853251505,24.727491426467896,0.04237575531005859,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.8}"
0.9009531846078568,0.05028151384838573,0.9997477279552047,0.00020325712905435212,16.43794493675232,0.05900282859802246,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
0.9004663937151554,0.05195392460841348,0.999362807587622,0.0001809484309491955,62.614049673080444,0.10128068923950195,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 1.0}"
0.9003842884381144,0.052639269329868045,0.9999168312705431,0.00010186047577993993,62.327467346191405,0.05359282493591309,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 1.0}"
0.9003005584955993,0.05531285273691648,0.9953683852910233,0.0015932751988429175,23.191987705230712,0.03922247886657715,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.8}"
